Location,Latitude,Longitude,Microplastic_Size_mm,Shape,Density,Polymer_Type,pH,Salinity,MP_Count_per_L,Industrial_Activity,Population_Density,Risk_Type,Risk_Level,Risk_Score,Author
Baybay City – Barangay Punta,10.666,124.82,>1.5,"Fiber, Fragment",1.05,"PS, PETE",8,33 PSU,200,"Tourism, Residential",High,Ecological,Very High,0.93,A.S.A. Helal et al.
Baybay City – Barangay Hilapnitan,10.673,124.81,0.5–1.5,Film,0.93,"PP, EVA",8,33 PSU,183.33,Fishing,Medium,Ecological,High,0.85,A.S.A. Helal et al.
Baybay City – Barangay Gabas,10.685,124.805,<0.5,"Fiber, Flake",1.1,"PA, PP",8.1,33 PSU,166.67,Coastal Rural,Medium,Ecological,High,0.82,A.S.A. Helal et al.
Baybay City – Barangay Pomponan,10.692,124.79,0.5–1.5,"Fiber, Film",1.05,"ABS, PETE",8.1,34 PSU,150,Urban Runoff,High,Ecological,High,0.8,A.S.A. Helal et al.
Baybay City – Barangay Kilim,10.7,124.77,0.5–1.5,Fragment,0.94,"PS, PP",8,33 PSU,133.33,"Rural, Light Industry",Medium,Ecological,Moderate,0.7,A.S.A. Helal et al.
Baybay City – Barangay Gubang,10.71,124.755,<0.5,Fiber,1.12,"PA, PETE",8.1,33 PSU,116.67,Agricultural,Low,Ecological,Moderate,0.65,A.S.A. Helal et al.
Baybay City – Barangay Igang,10.72,124.74,>1.5,"Film, Fragment",0.95,"PS, EVA",8.1,33 PSU,100,"Fishing, Residential",Medium,Ecological,Moderate,0.6,A.S.A. Helal et al.
Baybay City – Barangay Caridad,10.735,124.725,0.5–1.5,Fiber,1.1,"PETE, PA",8,33 PSU,83.33,Tourism,Low,Ecological,Moderate,0.58,A.S.A. Helal et al.
Baybay City – Barangay Marcos,10.75,124.71,<0.5,Flake,1.06,"ABS, PS",8.1,33 PSU,50,"Coastal, Rural",Low,Ecological,Moderate,0.55,A.S.A. Helal et al.
Sorsogon Bay - Bucal-Bucalan,12.967,124,0.5,Fragment,Low,PP,8,32 PSU,0.44 ind?¹ (~0.05 g?¹),"Fishing Port, Domestic Waste",Moderate,Ecological,Medium,0.6,Arciga et al.
Sorsogon Bay - Rompeolas,12.975,124.02,0.5,Fiber,Low,PS,8.1,31 PSU,0.44 ind?¹ (~0.05 g?¹),"Port Operations, Shipping",Moderate,Ecological,Medium,0.6,Arciga et al.
Sorsogon Bay - Casiguran,12.993,124.03,0.5,Pellet,Low,PAM,8.2,33 PSU,0.44 ind?¹ (~0.05 g?¹),"Coastal Fishing, Residential",Low,Ecological,Low,0.4,Arciga et al.
Sorsogon Bay (P. viridis),12.97,124.01,0.5,Fragment,Low,PP,8,32 PSU,0.44 items/ind,Fishing Port,Moderate,Ecological,Medium,0.6,Arciga et al.
Sorsogon Bay (A. pectinata),12.97,124.01,0.5,Fragment,Low,PS,8,32 PSU,0.06 items/ind,Nearshore Farms,Low,Ecological,Low,0.3,Arciga et al.
Sorsogon Bay (P. undulata),12.97,124.01,0.5,Pellet,Low,PAM,8,32 PSU,0.07 items/ind,Shellfish Culture Area,Low,Ecological,Low,0.4,Arciga et al.
Sorsogon Bay (Mussels - near populated zone),12.974,124.015,0.5,Fragment,Low,PP,8.1,31 PSU,0.44 items/ind,Urban Discharge,Moderate,Ecological,Medium,0.7,Arciga et al.
Sorsogon Bay (Pen Shell),12.969,124.018,0.5,Fiber,Low,PS,8,33 PSU,0.06 items/ind,"Fishing, Tourism",Low,Ecological,Low,0.4,Arciga et al.
Sorsogon Bay (Carpet Shell),12.972,124.025,0.5,Fragment,Low,PP,8.1,32 PSU,0.07 items/ind,Aquaculture Area,Low,Ecological,Low,0.3,Arciga et al.
Sorsogon Bay (Average Site Mean),12.975,124.015,0.5,"Mixed (Fragments, Fibers, Pellets)",Low,"PP, PS, PAM",8.1,32 PSU,0.19 items/ind,"Coastal Fishing, Domestic Waste",Moderate,Ecological,Medium,0.5,Arciga et al.
"Baroy, Panguil Bay",8.05,123.77,0.04–0.06,"Fiber, Fragment",Low–Medium,"PE, PP, PVC, PET, PS, ABS, CA",8.8–9.2,10–31.7 ppt,63.78 items/m² (~0.064/L),"Fishing, small-scale waste disposal",Medium,Ecological,Moderate,0.65,Bonifacio et al.
"Tangub, Panguil Bay",8.08,123.75,0.04–0.06,Fiber,Low,"PP, RY, PET",8.6,11.2 ppt,61.67 items/m² (~0.062/L),"Fisheries, coastal settlement",High,Ecological,High,0.75,Bonifacio et al.
"Kapatagan, Panguil Bay",8,123.77,0.04–0.06,"Fiber, Fragment",Low,"PE, PET, PP",8.9,12.8 ppt,49.56 items/m² (~0.050/L),Agricultural runoff,Medium,Ecological,Moderate,0.6,Bonifacio et al.
"Cabgan, Panguil Bay",8.07,123.73,0.04–0.06,"Fiber, Fragment",Low,"PP, PVC, PE",8.5,13.5 ppt,75.89 items/m² (~0.076/L),"Fishing, urban effluent",High,Ecological,High,0.78,Bonifacio et al.
Baroy (Donax sp.),8.05,123.77,0.04–0.06,Fiber,Low,LDPE,8.8,10.5 ppt,2.63 particles/clam (avg.),Fishing,Medium,Biological,Moderate,0.64,Bonifacio et al.
Tangub (M. meretrix),8.08,123.75,0.04–0.06,"Fiber, Fragment",Low,"LDPE, PP",8.6,11.2 ppt,5.67 particles/clam,Fisheries,High,Biological,High,0.77,Bonifacio et al.
Kapatagan (K. hiantina),8,123.77,0.04–0.06,Fiber,Low,"LDPE, RY",8.9,12.8 ppt,6.17 particles/clam,Fisheries,Medium,Biological,High,0.81,Bonifacio et al.
Cabgan (Sediment),8.07,123.73,0.04–0.06,"Fiber, Fragment",Low,"PE, PP, PET",8.5,13.5 ppt,75.89 items/m² (~0.076/L),Urban effluent,High,Ecological,High,0.8,Bonifacio et al.
Panguil Bay (Average Clams),8.05,123.75,0.04–0.06,Fiber,Low,"LDPE, RY, PET, PP",8.7,11.5 ppt,4.15 ± 3.37 particles/clam,Mixed,Medium,Biological,Moderate,0.68,Bonifacio et al.
Panguil Bay (Overall Sediment Mean),8.05,123.75,0.04–0.06,Fiber,Low,"PE, PP, PVC, PET",8.8,10–31.7 ppt,62.72 ± 18.31 items/m² (~0.063/L),Mixed,Medium–High,Ecological,Moderate–High,0.7,Bonifacio et al.
"Pontevedra, Capiz",11.441995,122.852243,0.063–5.0,"Fiber, Fragment, Pellet",Low–Medium,"PE, PP, PET (inferred)",8.1,20 ppt,2.03,"Aquaculture, Waste Disposal",Medium,Ecological,Moderate,0.6,Lantoria & Pimentel
"Pontevedra, Capiz (Sediment)",11.441356,122.853259,0.063–5.0,Fiber,Low,PE,8.1,20 ppt,0.09,Aquaculture,Medium,Ecological,Moderate,0.55,Lantoria & Pimentel
"Roxas City, Capiz",11.589049,122.731686,0.063–5.0,"Fiber, Fragment, Pellet",Low–Medium,"PP, PE, PVC",8.3,22 ppt,3.63,"Urban runoff, Aquaculture",High,Ecological,High,0.85,Lantoria & Pimentel
Roxas City (Sediment),11.589895,122.732663,0.063–5.0,"Fiber, Fragment",Low,"PE, PP",8.3,22 ppt,0.12,Urban runoff,High,Ecological,High,0.83,Lantoria & Pimentel
Roxas City (Milkfish Gills),11.589855,122.731264,0.063–5.0,"Fiber, Fragment",Low,"PP, PET",8.3,22 ppt,1.21 (per g tissue),Aquaculture,High,Biological,High,0.8,Lantoria & Pimentel
Roxas City (Milkfish GIT),11.589855,122.731264,0.063–5.0,"Fiber, Fragment",Low,"PE, PP",8.3,22 ppt,0.59 (per g tissue),Aquaculture,High,Biological,High,0.78,Lantoria & Pimentel
"Ivisan, Capiz",11.530918,122.6769,0.063–5.0,"Fiber, Fragment, Pellet",Low,"PE, PP",8,19 ppt,1.97,Semi-rural aquaculture,Medium,Ecological,Moderate,0.65,Lantoria & Pimentel
"Ivisan, Capiz (Sediment)",11.530718,122.675516,0.063–5.0,"Fiber, Fragment",Low,"PE, PET",8,19 ppt,0.06,Aquaculture,Medium,Ecological,Moderate,0.6,Lantoria & Pimentel
"Sapian, Capiz",11.501156,122.595319,0.063–5.0,"Fiber, Fragment, Pellet",Low,PE,8.2,21 ppt,0.53,Coastal aquaculture,Low,Ecological,Low,0.4,Lantoria & Pimentel
"Sapian, Capiz (Sediment)",11.500008,122.594905,0.063–5.0,"Fiber, Fragment",Low,"PP, PET",8.2,21 ppt,0.11,Aquaculture,Low,Ecological,Low,0.42,Lantoria & Pimentel
Capiz (Overall Average),11.515,122.7,0.063–5.0,Fiber (dominant),Low,"PE, PP, PET",8.2,21 ppt,2.04 (avg.),Mixed (urban + aquaculture),Medium–High,Ecological,Moderate–High,0.7,Lantoria & Pimentel
Lake Sampaloc (Urban - Limnetic),14.0682,121.325,0.06–2.0,"Fiber, Fragment, Film",Low–Medium,"Not determined (likely PE, PP)",7.8,Freshwater,0.99,"Aquaculture, Tourism",High,Ecological,High,0.85,Natuel et al.
Lake Sampaloc (Urban - Near Residences),14.0683,121.3261,0.06–2.0,"Fiber, Film",Low,PE (inferred),7.8,Freshwater,0.48,"Domestic Waste, Urban Runoff",High,Ecological,Moderate,0.7,Natuel et al.
Lake Sampaloc (Urban - Near Fish Cages),14.0675,121.324,0.06–2.0,"Fiber, Fragment",Low,"PE, PP (inferred)",7.9,Freshwater,1,Aquaculture,High,Ecological,High,0.88,Natuel et al.
Lake Sampaloc (Urban - Near Vegetation),14.0679,121.3236,0.06–2.0,Fiber,Low,PE,7.8,Freshwater,0.58,Urban Runoff,Medium,Ecological,Moderate,0.65,Natuel et al.
Lake Yambo (Rural - Limnetic),14.0717,121.352,0.06–2.0,"Fiber, Fragment",Low–Medium,Not determined (inferred PP),8,Freshwater,0.79,Tourism (ecotourism),Low,Ecological,Moderate,0.6,Natuel et al.
Lake Yambo (Rural - Near Residences),14.071,121.351,0.06–2.0,"Fiber, Film",Low,PE (inferred),8,Freshwater,0.34,Domestic Waste,Low,Ecological,Low,0.4,Natuel et al.
Lake Yambo (Rural - Near Vegetation),14.0721,121.353,0.06–2.0,Fiber,Low,PE,8,Freshwater,0.45,Agricultural Runoff,Low,Ecological,Low,0.45,Natuel et al.
Lake Yambo (Rural - Tourist Entrance),14.0715,121.3515,0.06–2.0,"Fiber, Fragment",Low–Medium,"PE, PP",8,Freshwater,0.79,Tourism,Medium,Ecological,Moderate,0.65,Natuel et al.
Lake Sampaloc (Average),14.068,121.325,0.06–2.0,Fiber (dominant),Low,"PE, PP",7.8,Freshwater,0.75,Mixed Urban,High,Ecological,High,0.8,Natuel et al.
Lake Yambo (Average),14.0715,121.352,0.06–2.0,Fiber (dominant),Low,"PE, PP",8,Freshwater,0.58,Rural/Agricultural,Low,Ecological,Moderate,0.55,Natuel et al.
"Site 1 - Taguibo Bridge, Butuan City",8.97,125.59,0.25–5,"Fiber, Film",<1 g/cm³,"PP, RCF1, RCF2, Polyacetylene",7.2,0.2 PSU,477.78,"Domestic wastewater, residential discharge",High,Ecological,High,0.55,M.H.T. Banda et al.
"Site 2 - Pianing Bridge, Butuan City",8.96,125.61,0.25–5,"Fiber, Filament",<1 g/cm³,"RCF1, RCF2, Polyester, Polyethylene",7.5,0.1 PSU,200,"Limited residential, minimal industry",Moderate,Ecological,Medium,0.8,M.H.T. Banda et al.
"Site 3 - Anticala Bridge, Butuan City",8.95,125.63,0.25–5,"Filament, Fragment",>1 g/cm³,"PP, Polyurethane, SEBS, RCF3",7.8,0.1 PSU,300,Residential near dam outlet,Moderate,Ecological,Medium,0.8,M.H.T. Banda et al.
Downstream (Confluence area),8.94,125.59,0.25–2,Fiber,<1 g/cm³,"RCF2, Polyacetylene, PP",7.3,0.3 PSU,520,Domestic and agricultural runoff,High,Ecological,High,0.65,M.H.T. Banda et al.
Upstream Butuan City (Anticala tributary),8.98,125.64,0.5–2,Filament,>1 g/cm³,"RCF3, Polyethylene",7.6,0.1 PSU,250,Agricultural,Low,Ecological,Low,0.65,M.H.T. Banda et al.
Sediment - Site 1 Butuan City,8.97,125.59,0.25–1,"Filament, Fiber",>1 g/cm³,"PP, RCF2",7.2,—,0.033 (33.33/kg),Residential,High,Ecological,High,0.85,M.H.T. Banda et al.
Sediment - Site 2,8.96,125.61,0.25–1,Fiber,>1 g/cm³,"Polyethylene, CPE",7.5,—,0.002 (2/kg),Minimal,Low,Ecological,Low,0.7,M.H.T. Banda et al.
Sediment - Site 3 Butuan City,8.95,125.63,0.25–1,Filament,>1 g/cm³,"PP, SEBS",7.8,—,0.006 (6/kg),Domestic,Moderate,Ecological,Medium,0.85,M.H.T. Banda et al.
Water Butuan City (Composite sample),8.96,125.6,0.25–5,"Fiber, Film, Fragment",0.9–1.1 g/cm³,"RCF1, RCF2, Polyacetylene, PP",7.4,0.2 PSU,477.78 ± 182.83,"Mixed (Domestic, agricultural)",Moderate,Ecological,Medium,0.93,M.H.T. Banda et al.
Sediment Butuan City (Composite sample),8.96,125.6,0.25–1,Filament,1.1–1.3 g/cm³,"PP, RCF2, SEBS",7.4,—,17.04 ± 14.80/kg,"Residential, domestic waste",Moderate,Ecological,Medium,0.68,M.H.T. Banda et al.
"Site 1 – Pajo Baguio, Virac",13.586,124.238,0.3–5,Fragment; Fiber,<1 g/cm³,"PE, PP",8.1,32 PSU,16.67 MP/kg ? 0.0167/L,Domestic discharge; tourism,High,Ecological,High,1,"K.I. Del Rosario, M.C. Tiu-Arcilla"
"Site 2 – Pajo San Isidro, Virac",13.582,124.242,0.3–5,Fragment; Fiber,<1 g/cm³,"PE, PVC",8.1,32 PSU,4.17 MP/kg ? 0.0042/L,Residential; agricultural runoff,Moderate,Ecological,Medium,0.66,"K.I. Del Rosario, M.C. Tiu-Arcilla"
"Site 3 – Concepcion, Virac",13.577,124.248,0.3–5,Fragment,<1 g/cm³,"PE, Polyurethane",8.2,33 PSU,3.33 MP/kg ? 0.0033/L,Residential,Moderate,Ecological,Medium,0.66,"K.I. Del Rosario, M.C. Tiu-Arcilla"
"Site 4 – San Vicente, Virac",13.57,124.255,0.3–5,Fiber; Fragment,<1 g/cm³,"PE, PP",8,33 PSU,3.33 MP/kg ? 0.0033/L,Fishing; domestic waste,Moderate,Ecological,Medium,0.66,"K.I. Del Rosario, M.C. Tiu-Arcilla"
"Site 5 – Binanuahan, Bato",13.558,124.263,0.3–5,Fiber; Pellet,<1 g/cm³,"PE, Silicon rubber",8,34 PSU,7.50 MP/kg ? 0.0075/L,River inflow; fishing,Moderate,Ecological,Medium,0.66,"K.I. Del Rosario, M.C. Tiu-Arcilla"
"Site 6 – Guinobatan, Bato",13.553,124.268,0.3–5,Fiber; Fragment,<1 g/cm³,"PE, Polyacetylene",8,34 PSU,10.00 MP/kg ? 0.0100/L,Riverine discharge,Moderate,Ecological,Medium,0.66,"K.I. Del Rosario, M.C. Tiu-Arcilla"
"Site 7 – Batalay, Bato",13.547,124.273,0.3–5,Fragment; Glass,>1 g/cm³,"PE, Polybutene",8.1,34 PSU,10.00 MP/kg ? 0.0100/L,Fishing; tourism,High,Ecological,High,1,"K.I. Del Rosario, M.C. Tiu-Arcilla"
Average (All Sites),—,—,0.3–5,Fragment; Fiber,<1 g/cm³,"PE (dominant), PP",8.1,33 PSU,avg 7.86 MP/kg ? 0.0079/L,Mixed anthropogenic,Moderate,Ecological,Medium,0.66,"K.I. Del Rosario, M.C. Tiu-Arcilla"
Baywide Estimate (Converted),—,—,0.3–5,Fragment,<1 g/cm³,PE,8.1,33 PSU,0.0079/L (converted),Mixed,Moderate,Ecological,Medium,0.66,"K.I. Del Rosario, M.C. Tiu-Arcilla"
Composite Sample (Sediment total),—,—,0.3–5,Fragment; Fiber,<1 g/cm³,"PE (52/66 MPs), PP, PVC",8.1,33 PSU,66 MPs total (sediment batch),"Mixed (residential, tourism)",High,Ecological,High,1,"K.I. Del Rosario, M.C. Tiu-Arcilla"
Pasig River – Intramuros,14.59,120.974,<1.6,Fragment,<1 g/cm³,"PE, PP",7.3,0.5 PSU,"1.20 (fish avg, est.)","Urban waste discharge, boat traffic",Very High,Biological,High,0.9,Espiritu et al.
Pasig River – Guadalupe,14.567,121.04,<1.6,"Fragment, Fiber",<1 g/cm³,"PE, PP",7.4,0.5 PSU,"1.40 (fish avg, est.)","Urban, industrial",Very High,Biological,High,0.92,Espiritu et al.
Pasig River – Lambingan Bridge,14.583,121.007,<1.6,"Fragment, Film",<1 g/cm³,"PE, PP",7.3,0.5 PSU,1.1,"Domestic effluent, runoff",Very High,Biological,High,0.88,Espiritu et al.
Marikina River – Sto. Niño,14.63,121.094,<1.6,"Fragment, Fiber",<1 g/cm³,"PE, PP",7.4,0.6 PSU,2.50 (Janitor fish),"Urban runoff, domestic waste",Very High,Biological,Very High,0.96,Espiritu et al.
Marikina River – Tumana,14.656,121.1,<1.6,"Fragment, Fiber",<1 g/cm³,"PE, PP",7.4,0.6 PSU,2.10 (Janitor fish),"Urban runoff, informal settlements",High,Biological,High,0.9,Espiritu et al.
Marikina River – Calumpang,14.628,121.094,<1.6,Fragment,<1 g/cm³,"PE, PP",7.3,0.6 PSU,1.30 (Tilapia),Urban area,High,Biological,High,0.87,Espiritu et al.
Pasig River – Pandacan,14.586,121,<1.6,"Fragment, Fiber",<1 g/cm³,"PE, PP",7.3,0.5 PSU,1.00 (Catfish),"Industrial, port",Very High,Biological,High,0.88,Espiritu et al.
Marikina River – Marikina Bridge,14.652,121.094,<1.6,"Fragment, Fiber",<1 g/cm³,"PE, PP",7.4,0.6 PSU,2.30 (Janitor fish),"Urban waste, stormwater",Very High,Biological,Very High,0.95,Espiritu et al.
Pasig River – Escolta,14.6,120.982,<1.6,"Fragment, Film",<1 g/cm³,"PE, PP",7.3,0.5 PSU,1.15,"Urban commerce, tourism",Very High,Biological,High,0.89,Espiritu et al.
Combined Average (Pasig–Marikina),14.6,121,<1.6,"Fragment (dominant), Fiber",<1 g/cm³,"PE, PP",7.4,0.6 PSU,1.67,Urban–industrial,Very High,Biological,High,0.9,Espiritu et al.
"Basdaku Beach, Moalboal",9.983,123.369,<5,"Fragment, Fiber",<1 g/cm³,"PE, PP (inferred)",8,33 PSU,0.07,Tourism-related waste,Moderate,Ecological,High,0.9,Go et al.
"Panagsama Beach, Moalboal",9.95,123.366,<5,"Fragment, Film",<1 g/cm³,"PE, PP",8,33 PSU,0.05,Diving & recreational activities,Moderate,Ecological,High,0.88,Go et al.
"Lambug Beach, Badian",9.853,123.369,<5,"Fragment, Film",<1 g/cm³,"PE, PP",8.1,33 PSU,0.04,Resort-based tourism,Low,Ecological,Moderate,0.75,Go et al.
Basdaku Beach (Sediment),9.983,123.369,<5,Fragment,<1 g/cm³,"PE, PP",8,33 PSU,0.13 (g basis ? est. 0.065/L),"Tourism, restaurants",Moderate,Ecological,High,0.9,Go et al.
Panagsama Beach (Sediment),9.95,123.366,<5,"Fragment, Film",<1 g/cm³,"PE, PP",8,33 PSU,0.11 (g basis ? est. 0.055/L),Coastal tourism,Moderate,Ecological,High,0.88,Go et al.
Lambug Beach (Sediment),9.853,123.369,<5,"Fragment, Fiber",<1 g/cm³,"PE, PP",8.1,33 PSU,0.08 (g basis ? est. 0.04/L),Local tourism,Low,Ecological,Moderate,0.75,Go et al.
Auxis thazard (Moalboal),9.967,123.368,<1,"Fragment, Fiber",<1 g/cm³,"PE, PP",8,33 PSU,0.37 (GIT) / 0.067 (muscle),Nearshore fishing,Moderate,Biological,High,0.91,Go et al.
Selar crumenophthalmus (Moalboal),9.967,123.368,<1,"Fragment, Fiber",<1 g/cm³,"PE, PP",8,33 PSU,0.25 (GIT) / 0.057 (muscle),Fishing & tourism,Moderate,Biological,Moderate,0.8,Go et al.
Sardina pilchardus (Moalboal),9.967,123.368,<1,Fragment,<1 g/cm³,"PE, PP",8,33 PSU,0.19 (GIT) / 0.067 (muscle),Fishing activity,Moderate,Biological,Moderate,0.78,Go et al.
Auxis thazard (Badian),9.853,123.369,<1,"Fragment, Fiber",<1 g/cm³,"PE, PP",8.1,33 PSU,0.287 (GIT) / 0.087 (muscle),Fishing & tourism,Low,Biological,Moderate,0.76,Go et al.
Selar crumenophthalmus (Badian),9.853,123.369,<1,Fragment,<1 g/cm³,"PE, PP",8.1,33 PSU,0.15 (GIT) / 0.053 (muscle),Fishing,Low,Biological,Moderate,0.74,Go et al.
Sardina pilchardus (Badian),9.853,123.369,<1,Fragment,<1 g/cm³,"PE, PP",8.1,33 PSU,0.14 (GIT) / 0.033 (muscle),Fishing,Low,Biological,Moderate,0.73,Go et al.
Average Moalboal Site,9.967,123.368,<5,"Fragment, Fiber",<1 g/cm³,"PE, PP",8,33 PSU,0.06,Tourism & recreation,Moderate,Ecological,High,0.88,Go et al.
Average Badian Site,9.853,123.369,<5,"Fragment, Film",<1 g/cm³,"PE, PP",8.1,33 PSU,0.04,Tourism,Low,Ecological,Moderate,0.75,Go et al.
Dumaguete City (Fish GI Tract),9.307,123.307,1.8,"Fiber, Fragment",<1 g/cm³,"PE, PP, PA, PET, PS",8,33 PSU,0.60/fish est. (0.006/L),"Urban waste, tourism, dumpsite runoff",Very High,Biological,High,0.9,L.A. Bucol et al.
Dumaguete (Marine Sediment),9.307,123.307,1.37,Fiber,<1.52 g/cm³,"Rayon, PET, PVC",8,33 PSU,12.3/sample (0.082 items/g ? 0.016/L),Urban discharge,Very High,Ecological,High,0.9,L.A. Bucol et al.
Bais City,9.564,123.122,1.8,"Fragment, Fiber",<1 g/cm³,"PE, PP",8,33 PSU,0.60/fish (0.006/L),"Coastal fishing, domestic waste",High,Biological,Moderate,0.75,L.A. Bucol et al.
Manjuyod,9.653,123.155,1.8,Fragment,<1 g/cm³,PP,8,33 PSU,1.47/fish (single 44 MPs case),Rural runoff,Medium,Biological,High,0.85,L.A. Bucol et al.
Ayungon,9.852,123.128,1.8,Fiber,<1 g/cm³,"PE, PET",8,33 PSU,0.60/fish (0.006/L),Coastal fishing,Medium,Biological,Moderate,0.75,L.A. Bucol et al.
Silliman Beach (Sediment),9.311,123.307,1.37,Fiber,<1.52 g/cm³,"Rayon, PET, PVC",8,33 PSU,12.3/sample (0.016/L),Urban discharge,Very High,Ecological,High,0.9,L.A. Bucol et al.
Dumaguete (Combined Sample),9.307,123.307,1.6,"Fiber, Fragment",<1 g/cm³,Mixed polymers,8,33 PSU,0.046 avg (converted),"Urban effluent, domestic waste",Very High,Combined,High,0.9,L.A. Bucol et al.
Bais Bay (Composite),9.56,123.122,1.8,"Fiber, Fragment",<1 g/cm³,"PE, PP",8,33 PSU,0.005/L (approx.),Riverine input,High,Ecological,Moderate,0.75,L.A. Bucol et al.
Manjuyod Coast (Composite),9.65,123.15,1.8,Fragment,<1 g/cm³,PP,8,33 PSU,0.012/L,"Fishing, small settlements",Medium,Ecological,Moderate,0.75,L.A. Bucol et al.
Ayungon Coast (Composite),9.85,123.12,1.8,Fiber,<1 g/cm³,"PE, PET",8,33 PSU,0.007/L,Rural coastal,Medium,Ecological,Moderate,0.75,L.A. Bucol et al.
Negros Oriental (Average across all sites),9.58,123.18,1.6,"Fiber, Fragment",<1 g/cm³,"PE, PP, PET, Rayon",8,33 PSU,0.009/L (average),Mixed urban–rural coastal,High,Combined,High,0.85,L.A. Bucol et al.
"Tibanga, Iligan City",8.2396,124.2447,1.0–5.0,Fiber,~1.3 g/cm³,"Polyester, Ethylene Propylene",7.5,0 (terrestrial),0.4 items/g (est. 0.004/L),"Urban traffic, tire abrasion",High,Atmospheric,High,0.9,Tejano et al.
Tibanga (Quadrat TiQ2),8.2396,124.2447,1.0–5.0,Fiber,~1.3 g/cm³,Polyester,7.5,0,0.8 items/g,Vehicular emissions,High,Atmospheric,High,0.9,Tejano et al.
Tibanga (Average),8.2396,124.2447,1.0–5.0,Fiber,~1.3 g/cm³,"Polyester, Ethylene Propylene",7.5,0,0.4 ± 0.2 items/g,"Road dust, textile fibers",High,Atmospheric,High,0.9,Tejano et al.
"Poblacion, Iligan City",8.2284,124.2368,1.0–5.0,Fiber,~1.3 g/cm³,"Polyester, Polyacrylamide",7.5,0,0.7 ± 0.6 items/g,Commercial zone,Very High,Atmospheric,High,0.9,Tejano et al.
Poblacion (PobQ2),8.2284,124.2368,1.0–5.0,Fiber,~1.3 g/cm³,Polyester,7.5,0,1.7 items/g,Vehicular and pedestrian,Very High,Atmospheric,High,0.9,Tejano et al.
Poblacion (Average),8.2284,124.2368,1.0–5.0,Fiber,~1.3 g/cm³,"Polyester, EVA",7.5,0,0.7 ± 0.6 items/g,Urban dust,Very High,Atmospheric,High,0.9,Tejano et al.
"Palao, Iligan City",8.2221,124.2545,1.0–5.0,Fiber,~1.3 g/cm³,"Polyester, Ethylene Propylene, Polyacrylamide",7.5,0,0.4 ± 0.5 items/g,Light industrial,Medium,Atmospheric,Moderate,0.75,Tejano et al.
Palao (PaQ6),8.2221,124.2545,1.0–5.0,Fiber,~1.3 g/cm³,Polyester,7.5,0,2.0 items/g,Traffic corridor,Medium,Atmospheric,High,0.85,Tejano et al.
Iligan City (Average All Sites),8.23,124.25,1.0–5.0,Fiber,~1.3 g/cm³,"Polyester (58.3%), Ethylene Propylene (25%), EVA (8.3%), Polyacrylamide (8.3%)",7.5,0,0.5 ± 0.2 items/g,Urban & traffic dust,High,Atmospheric,High,0.9,Tejano et al.
Iligan City (Composite Environmental Average),8.23,124.25,1.0–5.0,Fiber,~1.3 g/cm³,Polyester-dominant,7.5,0,39.2 items/m² (?0.5 items/g ? 0.005/L),Urban-industrial,High,Atmospheric,High,0.9,Tejano et al.
Gimaloto Mangrove (Shoreline),12.987°N,123.993°E,0.63–4.50,Fragment,1.02–1.03 g/cm³,"PP (55.7%), HDPE, LDPE, PS, Polyester, Nylon, PE-Chlorinated",7.8,30 PSU,1.48 MPs/L,"Coastal fishing, tourism",High (urban fringe),Ecological,Moderate,0.65,Embudo et al. (2024)
Gimaloto Mangrove (Near River Mouth),12.988°N,123.991°E,0.48–4.25,Fiber,1.02–1.03 g/cm³,"PP, HDPE, PS",7.6,28 PSU,1.41 MPs/L,Domestic waste discharge,High,Ecological,Moderate,0.63,Embudo et al. (2024)
Sediment Transect 1 (5m from edge),12.987°N,123.993°E,0.25–4.98,Fragment,1.3 g/cm³ (est.),"PP, HDPE, LDPE",7.5,30 PSU,50 MPs/kg,"Riprap construction, fishing",Moderate,Ecological,High,0.8,Embudo et al. (2024)
Sediment Transect 2 (10m inland),12.987°N,123.993°E,0.25–4.50,Fragment,1.3 g/cm³,"PP, PS",7.5,30 PSU,46.67 MPs/kg,Limited activity,Moderate,Ecological,Moderate,0.55,Embudo et al. (2024)
Sediment Transect 3 (river edge),12.988°N,123.992°E,0.25–4.98,"Fragment, Fiber",1.3 g/cm³,"PP (dominant), HDPE, PS",7.6,29 PSU,300 MPs/kg,"Urban runoff, aquaculture",High,Ecological,High,0.85,Embudo et al. (2024)
Sediment Transect 4 (inner mangrove),12.986°N,123.994°E,0.25–4.00,Fragment,1.3 g/cm³,"PP, Nylon",7.7,29 PSU,46.67 MPs/kg,Low activity,Moderate,Ecological,Low,0.45,Embudo et al. (2024)
Mud Crab (Gut content),12.987°N,123.993°E,2.20–4.15,Fiber,1.1 g/cm³,Not detected (likely PP/Polyester),7.6,30 PSU,0.22 MPs/g,"Aquaculture, fishing",Moderate,Biological,Moderate,0.6,Embudo et al. (2024)
Surface Water (Average),12.987°N,123.992°E,2.27 ± 1.43,Fragment,1.02 g/cm³,"PP, HDPE, PS",7.7,29 PSU,1.45 MPs/L,"Marine traffic, fishing",High,Ecological,Moderate,0.65,Embudo et al. (2024)
Sediment (Average),12.987°N,123.992°E,2.0–4.0,Fragment,1.3 g/cm³,"PP, HDPE, LDPE, PS",7.6,29 PSU,110.83 ± 63.06 MPs/kg,Coastal construction,Moderate,Ecological,High,0.78,Embudo et al. (2024)
